Survived,Pclass,Sex,Age,SibSp,Parch,Fare,FamilySize,IsAlone,Sex_encoded,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Age_scaled,Fare_scaled
0,3,male,22.0,1,0,7.25,2,0,0,False,False,True,False,False,True,False,False,0.2711736617240513,0.029115738554643292
1,1,female,38.0,1,0,71.2833,2,0,1,True,False,False,False,False,False,True,False,0.4722292033174164,0.286271162222373
1,3,female,26.0,0,0,7.925,1,1,1,False,False,True,False,True,False,False,False,0.32143754712239253,0.031826514213179044
1,1,female,35.0,1,0,53.1,2,0,1,False,False,True,False,False,False,True,False,0.43453128926866047,0.21324768513814604
0,3,male,35.0,0,0,8.05,1,1,0,False,False,True,False,False,True,False,False,0.43453128926866047,0.03232850970550048
0,3,male,25.0,0,0,8.4583,1,1,0,False,True,False,False,False,True,False,False,0.3088715757728072,0.03396822778161922
0,1,male,54.0,0,0,51.8625,1,1,0,False,False,True,False,False,True,False,False,0.6732847449107816,0.20827792976416382
0,3,male,2.0,3,1,21.075,5,0,0,False,False,True,True,False,False,False,False,0.01985423473234481,0.08463644000539412
1,3,female,27.0,0,2,11.1333,3,0,1,False,False,True,False,False,False,True,False,0.33400351847197784,0.044710931317297954
1,2,female,14.0,1,0,30.0708,2,0,1,True,False,False,False,False,False,True,False,0.17064589092736868,0.12076324840399551
1,3,female,4.0,1,1,16.7,3,0,1,False,False,True,False,True,False,False,False,0.04498617743151546,0.06706659777414385
1,1,female,58.0,0,0,26.55,1,1,1,False,False,True,False,True,False,False,False,0.7235486303091229,0.10662384256907302
0,3,male,20.0,0,0,8.05,1,1,0,False,False,True,False,False,True,False,False,0.24604171902488062,0.03232850970550048
0,3,male,39.0,1,5,31.275,7,0,0,False,False,True,False,False,True,False,False,0.4847951746670017,0.1255992721788233
0,3,female,14.0,0,0,7.8542,1,1,1,False,False,True,False,True,False,False,False,0.17064589092736868,0.031542183966328186
1,2,female,55.0,0,0,16.0,1,1,1,False,False,True,False,False,False,True,False,0.6858507162603669,0.06425542301714382
0,3,male,2.0,4,1,29.125,6,0,0,False,True,False,True,False,False,False,False,0.01985423473234481,0.1169649497108946
1,2,male,30.0,0,0,13.0,1,1,0,False,False,True,False,False,True,False,False,0.37170143252073384,0.052207531201429354
0,3,female,31.0,1,0,18.0,2,0,1,False,False,True,False,False,False,True,False,0.38426740387031916,0.0722873508942868
